address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
38 Elm St 2901 Toronto,1,1,Condo Apt Apartment,2700,600-699,C9356186,600,699,649.5,Condo Apartment,Apartment
105 The Queensway Ave 2501 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,W10422436,600,699,649.5,Condo Apartment,Apartment
165 Legion Rd 2333 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,W9392550,600,699,649.5,Condo Apartment,Apartment
1 Yorkville Ave 1908 Toronto,1+1,2,Condo Apt Apartment,2700,600-699,C9355274,600,699,649.5,Condo Apartment,Apartment
23 Lorraine Dr 710 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C9418110,600,699,649.5,Condo Apartment,Apartment
15 Northtown Way 2321 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C10544646,600,699,649.5,Condo Apartment,Apartment
159 Dundas St E 3706 Toronto,1+1,2,Condo Apt Apartment,2700,600-699,C9358760,600,699,649.5,Condo Apartment,Apartment
591 Sheppard Ave E 812 Toronto,1+1,2,Condo Apt Apartment,2700,600-699,C10875072,600,699,649.5,Condo Apartment,Apartment
88 Harbour St E 5305 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C10916029,600,699,649.5,Condo Apartment,Apartment
87 Peter St 2707 Toronto,1+1,1,Condo Apt Apartment,2700,500-599,C10413874,500,599,549.5,Condo Apartment,Apartment
32 Davenport Rd 2702 Toronto,1,1,Condo Apt Apartment,2700,500-599,C10417817,500,599,549.5,Condo Apartment,Apartment
25 Greenview Ave 1323 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C9418573,600,699,649.5,Condo Apartment,Apartment
11 Wellesley St W 5007 Toronto,1+1,1,Condo Apt Apartment,2700,500-599,C10036776,500,599,549.5,Condo Apartment,Apartment
65 St Mary St 708 Toronto,1+1,1,Condo Apt Apartment,2700,500-599,C9354393,500,599,549.5,Condo Apartment,Apartment
135 East Liberty St 2506 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C10406205,600,699,649.5,Condo Apartment,Apartment
33 Shore Breeze Dr 1208 Toronto,1+1,1,Condo Apt Apartment,2700,500-599,W10411417,500,599,549.5,Condo Apartment,Apartment
111 St. Clair Ave W 1022 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C9391018,600,699,649.5,Condo Apartment,Apartment
25 Richmond St 1308 Toronto,1+1,2,Condo Apt Apartment,2700,600-699,C10427394,600,699,649.5,Condo Apartment,Apartment
81 Navy Wharf Crt 3316 Toronto,1+1,1,Condo Apt Apartment,2700,700-799,C10417201,700,799,749.5,Condo Apartment,Apartment
155 Yorkville Ave 1801 Toronto,1+1,1,Condo Apt Apartment,2700,500-599,C10411445,500,599,549.5,Condo Apartment,Apartment
676 Sheppard Ave E 605 Toronto,1+1,2,Condo Apt Apartment,2700,700-799,C10428724,700,799,749.5,Condo Apartment,Apartment
100 Hayden St 910 Toronto,1+1,1,Condo Apt Apartment,2700,500-599,C9391406,500,599,549.5,Condo Apartment,Apartment
55 COOPER St 7503 Toronto,1+1,1,Comm Element Condo Apartment,2700,600-699,C9303275,600,699,649.5,Common Element Condo,Apartment
403 Church St 312 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C9282627,600,699,649.5,Condo Apartment,Apartment
