address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
2300 St Clair Ave W 316 Toronto,1+1,2,Condo Apt Apartment,2499,700-799,W9308164,700,799,749.5,Condo Apartment,Apartment
1414 Bayview Ave 504 Toronto,1,1,Condo Apt Apartment,2499,500-599,C9538135,500,599,549.5,Condo Apartment,Apartment
15 Grenville St 405 Toronto,1,1,Condo Apt Apartment,2499,500-599,C9283094,500,599,549.5,Condo Apartment,Apartment
100 Western Battery Rd 1005 Toronto,1+1,1,Condo Apt Apartment,2499,700-799,C9387371,700,799,749.5,Condo Apartment,Apartment
8 York St 2408 Toronto,1,1,Condo Apt Apartment,2499,500-599,C10427175,500,599,549.5,Condo Apartment,Apartment
1 De Boers Dr 807 Toronto,1+1,1,Condo Apt Apartment,2499,600-699,W9505973,600,699,649.5,Condo Apartment,Apartment
130 River St 202 Toronto,1+1,1,Condo Apt Apartment,2499,600-699,C9306456,600,699,649.5,Condo Apartment,Apartment
4208 Dundas St 815 Toronto,1+1,1,Condo Apt Apartment,2499,600-699,W10414147,600,699,649.5,Condo Apartment,Apartment
15 Brookbanks Dr 1808 Toronto,1,1,Other Apartment,2499,900-999,C10441471,900,999,949.5,Other,Apartment
38 Iannuzzi St 2509 Toronto,1,1,Condo Apt Apartment,2499,0-499,C9266769,0,499,249.5,Condo Apartment,Apartment
120 Harrison Garden Blvd 710 Toronto,1+1,1,Condo Apt Apartment,2499,600-699,C10884983,600,699,649.5,Condo Apartment,Apartment
181 Dundas St E PH15 Toronto,1+1,1,Comm Element Condo Apartment,2499,500-599,C9383291,500,599,549.5,Common Element Condo,Apartment
39 Roehampton Ave 701 Toronto,1+1,2,Condo Apt Apartment,2499,600-699,C10418487,600,699,649.5,Condo Apartment,Apartment
50 O'neill Rd 408 Toronto,1+1,1,Condo Apt Apartment,2499,600-699,C10874793,600,699,649.5,Condo Apartment,Apartment
42 CHARLES St 4504 Toronto,1,1,Condo Apt Apartment,2499,500-599,C10420251,500,599,549.5,Condo Apartment,Apartment
88 Corporate Dr 2805 Toronto,1+1,1,Condo Apt Apartment,2499,700-799,E10037432,700,799,749.5,Condo Apartment,Apartment
89 Mcgill St 2810 Toronto,1,1,Condo Apt Apartment,2500,0-499,C9769684,0,499,249.5,Condo Apartment,Apartment
55 Charles St E 2012 Toronto,1+1,1,Condo Apt Apartment,2500,500-599,C9770485,500,599,549.5,Condo Apartment,Apartment
