address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,Lat,Lon
50 Wellesley St 3901 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10427976,0,499,249.5,Condo Apartment,Apartment,43.6656409,-79.3825385
35 Rolling Mills Rd N613 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10405269,500,599,549.5,Condo Apartment,Apartment,43.6527282,-79.3556607
55 Cooper St 4516 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10423757,500,599,549.5,Condo Apartment,Apartment,43.644023,-79.3719292
85 Wood St 3915 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10429815,0,499,249.5,Condo Apartment,Apartment,43.6629385,-79.3786532
50 Ordnance St 2804 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10405613,500,599,549.5,Condo Apartment,Apartment,43.639732,-79.4096397
8 Eglinton Ave E 5606 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10441355,500,599,549.5,Condo Apartment,Apartment,43.7072672,-79.3979637
3 Market St 512 Toronto,1,1,Condo Apt Other,2250,500-599,C9419016,500,599,549.5,Condo Apartment,Other,43.6472438,-79.3711401
238 Simcoe St 302 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C9506415,500,599,549.5,Condo Apartment,Apartment,43.6539939,-79.3890561
195 McCaul St 609 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C9395337,500,599,549.5,Condo Apartment,Apartment,43.6553048,-79.3918483
1 Yorkville Ave 2806 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9395113,0,499,249.5,Condo Apartment,Apartment,43.6716052,-79.3876844
215 Queen St W 2015 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10420804,0,499,249.5,Condo Apartment,Apartment,43.6503428,-79.3878063
395 Bloor St E 1607 Toronto,1,1,Comm Element Condo Apartment,2250,500-599,C10707826,500,599,549.5,Common Element Condo,Apartment,43.6720526,-79.3776575
21 Vaughan Rd 1902 Toronto,1,1,Condo Apt Apartment,2250,600-699,C10423810,600,699,649.5,Condo Apartment,Apartment,43.6821068,-79.418266
25 Telegram Mews 2215 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10284861,500,599,549.5,Condo Apartment,Apartment,43.6409971,-79.3943918
2221 Yonge St 1105 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,C9398544,600,699,649.5,Condo Apartment,Apartment,43.7060755,-79.3976429
