address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,LAT,LONG
60 Shuter St 907 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C9050931,600,699,649.5,Condo Apartment,Apartment,43.6550609,-79.3760574
111 Elizabeth St 926 Toronto,1,1,Condo Apt Apartment,2600,600-699,C9304465,600,699,649.5,Condo Apartment,Apartment,43.6551126,-79.3848059
80 Charles St E 505 Toronto,1,1,Condo Apt Apartment,2600,500-599,C10409364,500,599,549.5,Condo Apartment,Apartment,43.66983,-79.3818138
19 Bathurst St 4209 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C9359250,500,599,549.5,Condo Apartment,Apartment,43.6375621,-79.3996469
38 Forest Manor Rd 1001 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10419268,500,599,549.5,Condo Apartment,Apartment,43.772094,-79.3453741
35 Empress Ave 1601 Toronto,1,1,Condo Apt Apartment,2600,700-799,C10422435,700,799,749.5,Condo Apartment,Apartment,43.7693129,-79.41122109999999
2200 Lake Shore Blvd W 608 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,W10440618,500,599,549.5,Condo Apartment,Apartment,43.6228431,-79.4819574
195 McCaul St 208 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9393542,500,599,549.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
297 College St 505 Toronto,1+1,1,Comm Element Condo Apartment,2600,700-799,C9365938,700,799,749.5,Common Element Condo,Apartment,43.6575255,-79.4015589
5168 Yonge St 3208 Toronto,1,1,Condo Apt Apartment,2600,500-599,C10875046,500,599,549.5,Condo Apartment,Apartment,43.76966849999999,-79.413859
110 Marine Parade Dr 310 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,W9461782,600,699,649.5,Condo Apartment,Apartment,43.6252111,-79.477633
19 Barberry Pl 518 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C10430618,600,699,649.5,Condo Apartment,Apartment,43.7660889,-79.3847883
410 Queens Quay 1210 Toronto,1,1,Condo Apt Apartment,2600,600-699,C10442571,600,699,649.5,Condo Apartment,Apartment,43.63806109999999,-79.3914588
