Listing ID,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Neighbourhood,Neighbourhood Rank,Rent Price (CAD)
C9284109,909 Bay St 604-S Toronto,1+0,1.0,1099.5,43.6636895,-79.3866053,Bay-Cloverhill,8.0,1500.0
C9282402,17 Bathurst St 2901 Toronto,1+1,1.0,549.5,43.6376464,-79.39901110000001,Harbourfront-CityPlace,21.0,1500.0
C9752090,3 Sudbury St 302 Toronto,1+0,1.0,749.5,43.6410782,-79.41809479999999,West Queen West,2.0,1500.0
C10432649,6A Leaside Park Dr Toronto,1+0,2.0,2624.5,43.7027843,-79.3502601,Thorncliffe Park,127.0,1500.0
E9396304,1378 Danforth Ave 2 Toronto,1+0,1.0,649.5,43.6825313,-79.3281852,Danforth,1.0,1500.0
C9514453,10 Capreol Crt 1057 Toronto,1+0,2.0,649.5,43.6401979,-79.3959363,Harbourfront-CityPlace,21.0,1500.0
C10408062,57 St Joseph St 1123 Toronto,1+0,1.0,249.5,43.6654292,-79.3880303,Bay-Cloverhill,8.0,1500.0
C9344480,10 York St 1107 Toronto,1+0,1.0,649.5,43.6411454,-79.38131249999999,Harbourfront-CityPlace,21.0,1500.0
C10404949,104 Regent St Toronto,1+0,1.0,1499.5,43.6826073,-79.4704546,Keelesdale-Eglinton West,118.0,1550.0
C10419429,99 Broadway Ave 2709 Toronto,1+0,1.0,649.5,43.7105663,-79.3932957,North Toronto,55.0,1590.0
W10291582,827 Albion Rd Toronto,1+0,1.0,549.5,43.7341947,-79.55953099999999,Thistletown-Beaumond Heights,117.0,1600.0
C10781910,49 East Liberty St 2603 Toronto,1+0,1.0,849.5,43.63883,-79.41163499999999,Fort York-Liberty Village,52.0,1600.0
C9419501,21 Carlton St 1205 Toronto,1+0,2.0,949.5,43.6612321,-79.3819474,Downtown Yonge East,34.0,1650.0
C9513758,60 Ann O'reilly Rd 260 Toronto,1+0,1.0,1299.5,43.774404,-79.3294289,Henry Farm,88.0,1650.0
C9512857,47 Mutual St 802 Toronto,1+0,1.0,949.5,43.6549839,-79.3746244,Downtown Yonge East,34.0,1650.0
C9398764,57 St Joseph St 313 Toronto,1+0,1.0,1099.5,43.6654292,-79.3880303,Bay-Cloverhill,8.0,1650.0
C10418575,25 Adra Grado Way 1026 Br Toronto,1+0,1.0,1099.5,43.7763756,-79.3659472,Bayview Village,57.0,1680.0
C10279421,45 Charles St E 2312 Toronto,1+0,1.0,849.5,43.6689111,-79.383977,Church-Wellesley,28.0,1700.0
C10420328,25 Carlton St 2007 Toronto,1+0,1.0,849.5,43.6612664,-79.38159279999999,Downtown Yonge East,34.0,1700.0
C10412749,70 Forest Manor Rd 3308 Toronto,1+0,1.0,1099.5,43.7745395,-79.3449495,Henry Farm,88.0,1700.0
C9344699,32 Townsend Rd Toronto,1+0,1.0,549.5,43.8107609,-79.35724929999999,Hillcrest Village,67.0,1750.0
C9513282,330 Richmond St W 603 Toronto,1+0,1.0,549.5,43.6489309,-79.3927925,Wellington Place,5.0,1770.0
C10441502,1446 Yonge St 7 Toronto,1+0,1.0,249.5,43.6875198,-79.3940197,Yonge-St.Clair,49.0,1795.0
C9368047,750 Bay St 1110 Toronto,1+0,1.0,849.5,43.6596664,-79.38605749999999,Yonge-Bay Corridor,18.0,1800.0
C10414508,195 McCaul St 1114 Toronto,1+0,1.0,249.5,43.6567194,-79.39214460000001,Kensington-Chinatown,48.0,1800.0
C9419486,448 Spadina Rd 106 Toronto,1+0,1.0,549.5,43.6892777,-79.4133196,Forest Hill South,39.0,1845.0
