Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/b/7-grenville-st-toronto-on-BMvfBt/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/ab558d81be4575c28a901d5d2de6520c-p_e.jpg","","","","7 Grenville St","Toronto","NaN","43.661762","-79.38363","43.661762--79.38363","Yes","Red-Two Building (Randomly generated building name as it is not provided by Zillow)","10"
"https://www.zillow.com/b/7-grenville-st-toronto-on-BMvfBt/","Apartment","","","2550","","","","2","","","","","","7 Grenville St","Toronto","NaN","","","","No","Unit located in: Red-Two Building",""
"https://www.zillow.com/homedetails/175-Jones-Ave-UNIT-1-Toronto-ON-M4M-3A2/2068504454_zpid/","Condominium","0","11/06/2024","4900","","","","2","2","https://photos.zillowstatic.com/fp/8181bb7c463779921dafc9746ac54c7d-p_e.jpg","No","No","Unit 1","175 Jones Ave","Toronto","NaN","43.667385","-79.33441","2068504454","","",""
"https://www.zillow.com/b/building/43.64172,-79.3815_ll/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/ee95c3a3e3d5d8cc07b6401d413db38e-p_e.jpg","","","","12 York St","Toronto","NaN","43.64172","-79.3815","43.64172--79.3815","Yes","Red-Five Building (Randomly generated building name as it is not provided by Zillow)","4"
"https://www.zillow.com/b/building/43.64172,-79.3815_ll/","Apartment","","","2500","","","","2","","","","","","12 York St","Toronto","NaN","","","","No","Unit located in: Red-Five Building",""
"https://www.zillow.com/b/building/43.63837,-79.3987_ll/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/46e95cafac715e392452825e5eb09360-p_e.jpg","","","","75 Queens Wharf Rd","Toronto","NaN","43.63837","-79.3987","43.63837--79.3987","Yes","Red-Two Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/building/43.63837,-79.3987_ll/","Apartment","","","2800","","","","2","","","","","","75 Queens Wharf Rd","Toronto","NaN","","","","No","Unit located in: Red-Two Building",""
"https://www.zillow.com/b/building/43.65686,-79.38367_ll/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/70dce9514edba4dca416bf9f3ea9098c-p_e.jpg","","","","633 Bay St","Toronto","NaN","43.65686","-79.38367","43.65686--79.38367","Yes","Red-Three Building (Randomly generated building name as it is not provided by Zillow)","12"
"https://www.zillow.com/b/building/43.65686,-79.38367_ll/","Apartment","","","2450","","","","2","","","","","","633 Bay St","Toronto","NaN","","","","No","Unit located in: Red-Three Building",""
"https://www.zillow.com/b/building/43.668037,-79.38844_ll/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/895949e52773110a3b71e8bc53bd2abd-p_e.jpg","","","","1121 Bay St","Toronto","NaN","43.668037","-79.38844","43.668037--79.38844","Yes","Green-Four Building (Randomly generated building name as it is not provided by Zillow)","4"
