Listing ID,Source,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Neighbourhood,Neighbourhood Rank,Rent Price (CAD)
344001755,Zillow,70 Parkwoods Village Dr,3.0,1.0,1080.0,43.7599,-79.322716,Fenside-Parkwoods,139.0,3401.0
349383663,Zillow,30 Denton Ave,3.0,2.0,1337.0,43.693977,-79.2877,Oakridge,125.0,3930.0
2055452323,Zillow,250 Roehampton Ave SUITE 100,3.0,1.0,1473.0,43.709743,-79.39154,North Toronto,55.0,4450.0
2055453380,Zillow,25 Nicholas Ave,3.0,2.0,935.0,43.659634,-79.35815,Regent Park,32.0,3800.0
2054253095,Zillow,40 Stevenson Rd,3.0,2.0,1243.0,43.744232,-79.58566,Mount Olive-Silverstone-Jamestown,141.0,3099.0
2055257185,Zillow,200 Ridley Blvd,3.0,2.0,1503.0,43.738235,-79.41971,Bedford Park-Nortown,46.0,3690.0
439608616,Zillow,15 Martha Eaton Way,3.0,1.0,1091.0,43.696564,-79.488464,Brookhaven-Amesbury,148.0,2990.0
2061615578,Zillow,1715 Bathurst St,3.0,1.0,1157.0,43.69772,-79.42392,Forest Hill South,39.0,3900.0
397911381,Zillow,65 Silver Springs Blvd,3.0,1.0,1184.0,43.80132,-79.30424,East L'Amoreaux,85.0,3145.0
351524936,Zillow,15 Brookbanks Dr,3.0,2.0,1372.0,43.75191,-79.33309,Parkwoods-O'Connor Hills,115.0,3050.0
441587205,Zillow,90 Eastdale Ave,3.0,2.0,1286.0,43.69461,-79.30125,Taylor-Massey,61.0,2919.0
442312888,Zillow,555 The West Mall,3.0,1.0,1054.0,43.652443,-79.570435,Etobicoke West Mall,121.0,2894.0
2055453892,Zillow,7 Welsford Gdns,3.0,2.0,1372.0,43.7515,-79.3156,Parkwoods-O'Connor Hills,115.0,2950.0
440541456,Zillow,295 Dufferin St,3.0,1.0,771.0,43.64005,-79.42731,South Parkdale,144.0,3191.0
440157010,Zillow,24 Leith Hill Rd,3.0,2.0,1213.0,43.777225,-79.350006,Don Valley Village,111.0,3481.0
2055452996,Zillow,2575 Danforth Ave,3.0,1.0,1015.0,43.6882,-79.30032,East End-Danforth,60.0,3100.0
2053585373,Zillow,50 Graydon Hall Dr,3.0,2.0,994.0,43.76462,-79.34578,Fenside-Parkwoods,139.0,2900.0
2062580452,Zillow,36 Foxbar Rd,3.0,2.0,1500.0,43.685757,-79.39927,Yonge-St.Clair,49.0,3500.0
2062580356,Zillow,75 Morning Dew Rd,3.0,1.0,800.0,43.77214,-79.168526,West Hill,156.0,1749.0
2055456646,Zillow,50 Cordova Ave PENTHOUSE 202,3.0,2.0,1214.0,43.64711,-79.52647,Etobicoke City Centre,64.0,2975.0
2054551646,Zillow,24 Mabelle Ave PENTHOUSE 102,3.0,2.0,1195.0,43.646587,-79.527145,Etobicoke City Centre,64.0,2975.0
https://rentals.ca/toronto/30-thunder-grove,Rentals.ca,"30 Thunder Grove, Toronto, ON",1.0,1.0,1200.0,43.8095841,-79.2663287,Agincourt North,83.0,1000.0
https://rentals.ca/toronto/10-deerlick-court-5,Rentals.ca,"10 Deerlick Court, Toronto, ON",1.0,2.0,726.0,43.7591964,-79.33192380000001,Fenside-Parkwoods,139.0,1250.0
https://rentals.ca/toronto/22-wellesley-street-east-id823797,Rentals.ca,"22 Wellesley Street East, Toronto, ON",1.0,1.0,1100.0,43.6654816,-79.3832754,Church-Wellesley,28.0,1250.0
https://rentals.ca/toronto/60-george-butchart-drive,Rentals.ca,"60 George Butchart Drive, Toronto, ON",1.0,1.0,700.0,43.7360717,-79.4837927,Downsview,136.0,1500.0
https://rentals.ca/toronto/1121-bay-street-4,Rentals.ca,"1121 Bay Street, Toronto, ON",1.0,1.0,1200.0,43.6679864,-79.3885486,Bay-Cloverhill,8.0,1600.0
https://rentals.ca/toronto/28-ted-rogers-way-id895295,Rentals.ca,"28 Ted Rogers Way, Toronto, ON",2.0,1.0,769.0,43.6707118,-79.38052429999999,Church-Wellesley,28.0,1700.0
https://rentals.ca/toronto/56-annie-craig-drive-id904052,Rentals.ca,"56 Annie Craig Drive, Toronto, ON",1.0,1.0,552.0,43.6254787,-79.4788159,Humber Bay Shores,68.0,1850.0
https://rentals.ca/toronto/3237-bayview-avenue-id904512,Rentals.ca,"3237 Bayview Avenue, Toronto, ON",1.5,2.0,654.0,43.7899719,-79.3926166,Bayview Woods-Steeles,101.0,1850.0
https://rentals.ca/toronto/230-king-street-east-id865898,Rentals.ca,"230 King Street East, Toronto, ON",1.0,1.0,1200.0,43.6514464,-79.3681507,Moss Park,69.0,1875.0
