Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/b/building/43.64118,-79.39372_ll/","Building","22","10/15/2024","","","","","","","https://photos.zillowstatic.com/fp/d918b820063c568bc63bc6b3be2fbd6e-p_e.jpg","","","","4K Spadina Ave","Toronto","NaN","43.64118","-79.39372","43.64118--79.39372","Yes","Red-Six Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/building/43.64118,-79.39372_ll/","Apartment","","","3300","","","","3","","","","","","4K Spadina Ave","Toronto","NaN","","","","No","Unit located in: Red-Six Building",""
"https://www.zillow.com/homedetails/1352-Kennedy-Rd-A-Toronto-ON-M1P-2L7/2058423111_zpid/","Condominium","20","10/17/2024","3000","","","","3","1","https://photos.zillowstatic.com/fp/ca42b315ebbe34682d17664009264f48-p_e.jpg","No","No","# A","1352 Kennedy Rd","Toronto","NaN","43.761555","-79.28034","2058423111","","",""
"https://www.zillow.com/homedetails/300-Alton-Towers-Cir-UNIT-708-Toronto-ON-M1V-4X9/2060894126_zpid/","Condominium","22","10/15/2024","2900","","","","3","2","https://photos.zillowstatic.com/fp/8777dc05d83adc533a72d0f18be45e5d-p_e.jpg","No","No","Unit 708","300 Alton Towers Cir","Toronto","NaN","43.82406","-79.27691","2060894126","","",""
"https://www.zillow.com/homedetails/8-Eglinton-Ave-E-2011-Toronto-ON-M4P-0C1/2061856906_zpid/","Condominium","5","11/01/2024","2950","","","","3","2","https://photos.zillowstatic.com/fp/6d623ddd49ba0ee9385c0170b369288c-p_e.jpg","No","No","# 2011","8 Eglinton Ave E","Toronto","NaN","43.707085","-79.39774","2061856906","","",""
"https://www.zillow.com/homedetails/650-Sheppard-Ave-E-PENTHOUSE-17-Toronto-ON-M2K-3E4/441781028_zpid/","Condominium","23","10/14/2024","4000","","","","3","2","https://photos.zillowstatic.com/fp/bd4a05fa68f99b08539c894ceb818728-p_e.jpg","No","No","# Penthouse 17","650 Sheppard Ave E  17","Toronto","NaN","43.768585","-79.38143","441781028","","",""
"https://www.zillow.com/homedetails/155-Dalhousie-St-UNIT-909-Toronto-ON-M5B-2P7/440874478_zpid/","Condominium","12","10/25/2024","4200","","","","3","2","https://photos.zillowstatic.com/fp/21cb53a001fd61c1c01691143e6c7a43-p_e.jpg","No","No","Unit 909","155 Dalhousie St","Toronto","NaN","43.657516","-79.37677","440874478","","",""
"https://www.zillow.com/homedetails/8-Mercer-St-708-Toronto-ON-M5V-0C4/2061614118_zpid/","Condominium","24","10/13/2024","4600","","","","3","2","https://photos.zillowstatic.com/fp/b54de16c44035b64f78d24f7e3f14f51-p_e.jpg","No","No","# 708","8 Mercer St","Toronto","NaN","43.645958","-79.38987","2061614118","","",""
"https://www.zillow.com/homedetails/126-Simcoe-St-3008-Toronto-ON-M5H-4E6/2083073590_zpid/","Condominium","11","10/26/2024","4300","","","","3","2","https://photos.zillowstatic.com/fp/12a960803ab450eb902254c57668e835-p_e.jpg","No","No","# 3008","126 Simcoe St","Toronto","NaN","43.64899","-79.38701","2083073590","","",""
"https://www.zillow.com/homedetails/181-Huron-St-UPH01-Toronto-ON-M5T-0C1/2072237196_zpid/","Condominium","19","10/18/2024","3980","","","","3","2","https://photos.zillowstatic.com/fp/5924824375f2067b51e50340e6097293-p_e.jpg","No","No","# UPH01","181 Huron St","Toronto","NaN","43.65804","-79.39779","2072237196","","",""
